rider_name,country,wins_tdf,wins_giro,wins_vuelta,wins_total,races_won,birth_date,citizenships,height_cm,weight_kg
Philippe Thys,Belgium,3,0,0,3,1,1889-10-08,Belgium,,
Primož Roglič,Slovenia,0,1,4,5,2,1989-10-29,Slovenia,177.0,65.0
Raymond Poulidor,France,0,0,1,1,1,1936-04-15,France,,
Remco Evenepoel,Belgium,0,0,1,1,1,2000-01-25,Belgium,171.0,62.0
René Pottier,France,1,0,0,1,1,1879-06-06,France,,
Richard Carapaz,Ecuador,0,1,0,1,1,1993-05-29,Ecuador,170.0,62.0
Roberto Heras,Spain,0,0,4,4,1,1974-02-01,Spain,172.0,
Roberto Visentini,Italy,0,1,0,1,1,1957-06-02,Italy,,
Roger Lapébie,France,1,0,0,1,1,1911-01-16,France,174.0,
Roger Pingeon,France,1,0,1,2,2,1940-08-28,France,,
Roger Walkowiak,France,1,0,0,1,1,1927-03-02,"France, Poland",,
Rolf Wolfshohl,West Germany,0,0,1,1,1,1938-12-27,Germany,,
Romain Maes,Belgium,1,0,0,1,1,1912-08-10,Belgium,,
Rudi Altig,West Germany,0,0,1,1,1,1937-03-18,"Germany, West Germany",180.0,80.0
Ryder Hesjedal,Canada,0,1,0,1,1,1980-12-09,Canada,190.0,71.0
Sean Kelly,Ireland,0,0,1,1,1,1956-05-24,Ireland,,
Sepp Kuss,United States,0,0,1,1,1,1994-09-13,United States,180.0,64.0
Simon Yates,Great Britain,0,1,1,2,2,1992-08-07,United Kingdom,172.0,58.0
Stefano Garzelli,Italy,0,1,0,1,1,1973-07-16,Italy,175.0,62.0
Stephen Roche,Ireland,1,1,0,2,2,1959-11-28,Ireland,175.0,
Sylvère Maes,Belgium,2,0,0,2,1,1909-08-27,Belgium,,
Tadej Pogačar,Slovenia,5,1,0,6,2,1998-09-21,Slovenia,176.0,66.0
Tao Geoghegan Hart,Great Britain,0,1,0,1,1,1995-03-30,United Kingdom,183.0,
Tom Dumoulin,Netherlands,0,1,0,1,1,1990-11-11,Kingdom of the Netherlands,185.0,69.0
Tony Rominger,Switzerland,0,1,3,4,2,1961-03-27,Switzerland,173.0,
Vasco Bergamaschi,Italy,0,1,0,1,1,1909-09-29,"Italy, Kingdom of Italy",,
Vincenzo Nibali,Italy,1,2,1,4,3,1984-11-14,Italy,181.0,65.0
Vittorio Adorni,Italy,0,1,0,1,1,1937-11-14,Italy,184.0,74.0
Álvaro Pino,Spain,0,0,1,1,1,1956-08-17,Spain,,
Ángel Casero,Spain,0,0,1,1,1,1972-09-27,Spain,180.0,63.5
Éric Caritoux,France,0,0,1,1,1,1960-08-16,France,,
Óscar Pereiro,Spain,1,0,0,1,1,1977-08-03,Spain,177.0,67.0
